Noise,Filter,MSE,PSNR,SSIM,Sharpness,EdgeDiff,Time (s)
Gaussian,Median 7x7,222.25,24.66,0.4072,196.89,1.4,0.302498
Gaussian,Gaussian sigma3,278.97,23.68,0.6996,8.18,1.66,0.004809
Gaussian,Mean 7x7,300.0,23.36,0.5811,51.61,1.65,0.005796
Gaussian,Gaussian sigma1,520.51,20.97,0.2334,206.6,0.9,0.003588
Gaussian,Mean 3x3,648.94,20.01,0.1748,723.33,1.0,0.007139
Gaussian,Median 3x3,947.78,18.36,0.1077,2405.71,1.18,0.002642
Gaussian,Max Filter,7782.24,9.22,0.7179,176.07,1.59,0.001839
SaltPepper,Median 7x7,14.03,36.66,0.9831,26.27,0.91,0.283713
SaltPepper,Median 3x3,32.17,33.06,0.964,454.7,0.55,0.003211
SaltPepper,Gaussian sigma3,274.43,23.75,0.717,13.3,1.65,0.007509
SaltPepper,Mean 7x7,293.41,23.46,0.6036,102.74,1.59,0.008489
SaltPepper,Gaussian sigma1,493.64,21.2,0.2583,420.44,1.09,0.006977
SaltPepper,Mean 3x3,611.53,20.27,0.196,1493.66,1.15,0.017577
SaltPepper,Max Filter,8721.65,8.72,0.3647,4121.31,1.64,0.003392
Speckle,Median 7x7,493.96,21.19,0.2894,473.07,1.56,0.347744
Speckle,Gaussian sigma3,922.9,18.48,0.6158,11.89,1.55,0.011266
Speckle,Mean 7x7,959.67,18.31,0.4834,85.74,1.61,0.008281
Speckle,Gaussian sigma1,1339.03,16.86,0.1902,347.51,1.04,0.007966
Speckle,Mean 3x3,1551.32,16.22,0.1496,1226.36,1.11,0.010086
Speckle,Median 3x3,1960.99,15.21,0.1003,5150.75,1.27,0.004535
Speckle,Max Filter,6575.44,9.95,0.765,122.77,1.64,0.002511
